transaction_id,user_id,timestamp,amount,currency,country_code
TXN_10000,USR_1654,2026-01-12 03:30:00,565.54,GBP,DEU
TXN_10001,USR_1754,2026-01-04 22:58:00,521.45,GBP,GBR
TXN_10002,USR_1032,2026-01-23 23:59:00,158.69,USD,USA
TXN_10003,USR_1574,2026-01-25 19:14:00,1002.2,GBP,GBR
TXN_10004,USR_1459,2026-02-01 18:34:00,2950.44,USD,USA
TXN_10005,USR_1284,2026-01-05 05:19:00,785.84,EUR,USA
TXN_10006,USR_1367,2026-01-02 23:28:00,4239.0,GBP,DEU
TXN_10007,USR_1549,2026-01-26 02:59:00,632.88,EUR,USA
TXN_10008,USR_1643,2026-01-09 18:02:00,3096.41,EUR,GBR
TXN_10009,USR_1046,2026-01-11 14:17:00,3309.7,EUR,USA
TXN_10010,USR_1389,2026-01-08 09:40:00,1397.09,GBP,DEU
TXN_10011,USR_1214,30/01/2026,3354.17,GBP,GBR
TXN_10012,USR_1650,2026-01-08 10:29:00,863.98,GBP,USA
TXN_10013,USR_1276,2026-01-26 08:21:00,4947.72,GBP,GBR
TXN_10014,USR_1332,2026-01-02 11:04:00,4215.83,USD,USA
TXN_10015,USR_1410,2026-02-02 16:10:00,1346.03,USD,GBR
TXN_10016,USR_1671,2026-01-07 12:04:00,2501.16,GBP,DEU
TXN_10017,USR_1252,2026-02-03 23:57:00,3727.5,GBP,DEU
TXN_10018,USR_1919,2026-01-07 07:06:00,2921.83,EUR,USA
TXN_10019,USR_1093,2026-01-29 13:21:00,3781.35,USD,USA
TXN_10020,USR_1696,2026-01-18 08:50:00,2116.58,USD,DEU
TXN_10021,USR_1479,2026-01-31 23:04:00,2650.28,GBP,USA
TXN_10022,USR_1698,2026-01-16 11:34:00,4425.09,EUR,GBR
TXN_10023,USR_1445,2026-02-02 18:05:00,799.21,USD,GBR
TXN_10024,USR_1512,2026-01-29 11:00:00,3812.19,GBP,USA
TXN_10025,USR_1654,2026-01-18 00:25:00,2543.24,USD,USA
TXN_10026,USR_1552,2026-01-28 06:13:00,4767.96,GBP,USA
TXN_10027,USR_1019,2026-01-11 21:33:00,568.22,EUR,DEU
TXN_10028,USR_1899,2026-02-03 07:27:00,2841.11,USD,USA
TXN_10029,USR_1070,2026-01-06 20:15:00,4890.14,GBP,USA
TXN_10030,USR_1969,2026-01-28 14:34:00,2753.52,EUR,GBR
